102,0,-179
102,-13,-176
108,-16,-162
114,-10,-122
95,-16,-129
74,-25,-104
61,-41,-86
27,-25,-115
21,-34,-118
6,-4,-126
-13,-13,-151
-22,-4,-151
-41,-10,-151
-68,3,-144
-65,12,-147
-84,30,-162
-106,43,-158
-136,30,-136
-146,43,-129
-152,58,-100
-155,61,-82
-136,95,-86
-124,105,-90
-102,111,-104
-81,120,-72
-65,126,-100
-47,151,-118
-44,139,-133
-31,154,-147
-19,154,-162
-7,157,-169
21,170,-169
37,166,-165
58,173,-133
55,179,-129
80,182,-111
95,182,-100
129,185,-75
117,182,-64
129,179,-43
136,179,-39
142,176,33
151,173,36
154,157,25
148,136,29
160,136,4
154,126,-3
148,102,-3
139,86,-3
142,86,4
120,12,15
114,-19,36
120,-25,51
95,-47,58
92,-53,51
77,-50,54
58,-72,47
21,-72,25
9,-72,40
-31,-56,22
-28,-62,22
-50,-65,22
-87,-53,29
-90,-53,36
-93,-72,40
-109,-65,43
-121,-56,69
-118,-28,43
-140,-19,11
-121,0,4
-127,18,0
-127,15,22
-124,40,0
-127,74,-3
-146,80,-3
-143,102,-29
-96,102,-29
-84,136,4
-78,145,7
-44,145,18
-59,154,0
-50,160,0
-16,163,22
-10,166,33
15,163,15
34,163,22
43,170,15
55,163,11
64,166,0
86,163,15
105,166,18
108,163,61
126,163,61
117,166,69
139,160,86
136,160,97
139,157,79
139,139,104
142,86,94
145,52,94
145,15,112
126,6,137
117,-7,148
105,-28,115
74,-44,104
49,-28,86
49,-47,83
21,-47,69
12,-56,65
-50,-102,69
-44,-59,83
-50,-53,79
-93,-68,79
-112,-44,94
-112,-59,122
-118,-41,112
-136,-28,148
-149,-10,119
-152,6,108
-136,37,97
-133,46,108
-152,43,122
-158,58,126
-149,80,148
-130,95,173
-109,108,184
-87,105,169
-96,114,173
-78,139,194
-56,145,166
-38,142,144
-25,163,180
-10,157,140
18,157,144
18,154,130
24,3,126
27,92,112
43,92,108
49,89,108
49,74,122
71,68,158
71,40,115
102,34,104
102,-16,101
129,24,126
132,3,155
139,-4,166
102,-10,191
83,-28,209
43,-25,166
15,-38,180
3,-38,187
-16,-28,209
-28,-47,216
-44,253,227
-53,247,248
-62,253,266
-84,-28,273
-72,-28,291
-84,0,295
-75,40,299
-65,61,277
-65,83,266
-47,86,288
-41,108,277
-16,117,313
6,71,284
24,92,288
27,61,299
21,55,281
24,40,299
15,6,273
24,9,277
-31,3,295
-38,6,309
-44,34,324
-47,27,327
241,58,338
250,68,342
-44,86,345
-50,105,406
-34,105,334
-7,108,356
3,111,374
6,111,388
21,92,414
30,102,388
46,89,381
74,83,370
74,77,367
83,46,378
80,15,388
58,3,378
49,15,385
27,24,396
21,34,392
3,34,399
0,74,424
0,77,428
-7,80,450